strain	date	region	country	is_lab_host	host	genbank_accession	authors
Kosovo/PP_000QPZX.3/2013-01-01	2013-05-28	Europe	Kosovo		Homo sapiens	MH133300.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
Kosovo/PP_000QQ0V.3/2013-01-01	2013-05-28	Europe	Kosovo		Homo sapiens	MH133303.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
Kosovo/PP_000QQ1T.3/2014-01-01	2014-05-28	Europe	Kosovo		Homo sapiens	MH133306.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
Kosovo/PP_000QQ2R.3/2014-01-01	2014-05-28	Europe	Kosovo		Homo sapiens	MH133309.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
Kosovo/PP_000QQ3P.3/2015-01-01	2015-05-28	Europe	Kosovo		Homo sapiens	MH133312.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
India/PP_000QQ8D.3/2010-01-01	2010-05-28	Asia	India		Homo sapiens	MH396640.1	Yadav, P. D.
India/PP_000QQB7.3/2014-01-01	2014-05-28	Asia	India		Homo sapiens	MH396649.1	Yadav, P. D.
India/PP_000QQC5.3/2015-01-01	2015-05-28	Asia	India		Homo sapiens	MH396652.1	Yadav, P. D.
India/PP_000QQD3.3/2015-01-01	2015-05-28	Asia	India		Homo sapiens	MH396655.1	Yadav, P. D.
India/PP_000QQE1.3/2015-01-01	2015-05-28	Asia	India		Homo sapiens	MH396658.1	Yadav, P. D.
India/PP_000QQFZ.3/2016-01-01	2016-05-28	Asia	India		Homo sapiens	MH396661.1	Yadav, P. D.
India/PP_000QQGX.3/2016-01-01	2016-05-28	Asia	India		Homo sapiens	MH396664.1	Yadav, P. D.
India/PP_000QQHU.3/2016-01-01	2016-05-28	Asia	India		Homo sapiens	MH396667.1	Yadav, P. D.
India/PP_000QQJS.3/2017-01-01	2017-05-28	Asia	India		Homo sapiens	MH396670.1	Yadav, P. D.
India/PP_000QQKQ.3/2017-01-01	2017-05-28	Asia	India		Homo sapiens	MH396673.1	Yadav, P. D.
Iran/PP_000QQLN.3/2017-08-03	2017-08-03	Asia	Iran		Homo sapiens	MH461099.1	Baniasadi, V.; Qaedi, H.; Jalali, T.; Pouriayevali, M. H.; Fazlalipour, M.; Mohammadi, T.; Fereydouni, Z.; Azadmanesh, K.; Salehi-Vaziri, M.
USA/PP_000QQRC.3/2018-06-01	2018-06-28	North America	USA		Homo sapiens	MH483986.1	Hawman, D. W.; Haddock, E.; Meade-White, K.; Williamson, B.; Hanley, P. W.; Rosenke, K.; Komeno, T.; Furuta, Y.; Gowen, B. B.; Feldmann, H.; Feldmann, F.
USA/PP_000QQSA.3/2018-06-01	2018-06-28	North America	USA		Homo sapiens	MH483989.1	Hawman, D. W.; Haddock, E.; Meade-White, K.; Williamson, B.; Hanley, P. W.; Rosenke, K.; Komeno, T.; Furuta, Y.; Gowen, B. B.; Feldmann, H.; Feldmann, F.
